match,team,tsync,DD,Tier,WinLose
123456789,radiant,322,111.7168516,Pro,Win
123456789,radiant,323,111.5682811,Pro,Win
123456789,radiant,324,111.6893206,Pro,Win
123456789,radiant,325,111.5739253,Pro,Win
123456789,radiant,326,111.8915512,Pro,Win
123456789,radiant,327,114.1973406,Pro,Win
123456789,radiant,328,114.6064037,Pro,Win
123456789,radiant,329,117.9670646,Pro,Win
123456789,radiant,330,120.1326918,Pro,Win
123456789,radiant,331,120.9705068,Pro,Win
123456789,radiant,332,123.6838444,Pro,Win
123456789,radiant,333,124.7768391,Pro,Win
123456789,radiant,334,123.5803392,Pro,Win
123456789,radiant,335,120.0101387,Pro,Win
123456789,radiant,336,120.6317744,Pro,Win
123456789,radiant,337,118.1060833,Pro,Win
123456789,radiant,338,115.5029024,Pro,Win
123456789,radiant,339,112.9962195,Pro,Win
123456789,radiant,340,110.9180116,Pro,Win
123456789,radiant,341,112.10862,Pro,Win
123456789,radiant,342,113.6124521,Pro,Win
123456789,radiant,343,112.6200833,Pro,Win
123456789,radiant,344,113.6371931,Pro,Win
123456789,radiant,345,114.5179398,Pro,Win
123456789,radiant,346,110.1025311,Pro,Win
123456789,radiant,347,107.7355326,Pro,Win
123456789,radiant,348,107.3751649,Pro,Win
123456789,radiant,349,105.8801516,Pro,Win
123456789,radiant,350,104.7859808,Pro,Win
123456789,radiant,351,105.3542907,Pro,Win
123456789,radiant,352,107.0995473,Pro,Win
123456789,radiant,353,107.3760141,Pro,Win
123456789,radiant,354,106.4849032,Pro,Win
123456789,radiant,355,105.6894245,Pro,Win
123456789,radiant,356,106.9121154,Pro,Win
123456789,radiant,357,106.3247339,Pro,Win
123456789,radiant,358,103.8241516,Pro,Win
123456789,radiant,359,104.099811,Pro,Win
123456789,radiant,360,104.0440599,Pro,Win
123456789,radiant,361,103.6027344,Pro,Win
123456789,radiant,362,104.4472219,Pro,Win
123456789,radiant,363,105.5416212,Pro,Win
123456789,radiant,364,105.7734287,Pro,Win
123456789,radiant,365,105.5944286,Pro,Win
123456789,radiant,366,106.2632899,Pro,Win
123456789,radiant,367,105.4536233,Pro,Win
123456789,radiant,368,104.0115341,Pro,Win
123456789,radiant,369,101.7561958,Pro,Win
123456789,radiant,370,101.8519646,Pro,Win
123456789,radiant,371,104.1096815,Pro,Win
123456789,radiant,372,105.6680658,Pro,Win
123456789,radiant,373,105.6983759,Pro,Win
123456789,radiant,374,104.9676877,Pro,Win
123456789,radiant,375,105.1410711,Pro,Win
123456789,radiant,376,104.5387314,Pro,Win
123456789,radiant,377,105.8008502,Pro,Win
123456789,radiant,378,102.8832231,Pro,Win
123456789,radiant,379,103.0909635,Pro,Win
123456789,radiant,380,103.1185664,Pro,Win
123456789,radiant,381,103.5907682,Pro,Win
123456789,radiant,382,107.5241296,Pro,Win
123456789,radiant,383,109.7073724,Pro,Win
123456789,radiant,384,109.8940692,Pro,Win
123456789,radiant,385,108.2438084,Pro,Win
123456789,radiant,386,109.9102813,Pro,Win
123456789,radiant,387,108.7805745,Pro,Win
123456789,radiant,388,108.5645839,Pro,Win
123456789,radiant,389,108.6705071,Pro,Win
123456789,radiant,390,107.3840281,Pro,Win
123456789,radiant,391,107.3525766,Pro,Win
123456789,radiant,392,106.8719992,Pro,Win
123456789,radiant,393,108.0194137,Pro,Win
123456789,radiant,394,108.6143092,Pro,Win
123456789,radiant,395,108.0437312,Pro,Win
123456789,radiant,396,110.373372,Pro,Win
123456789,radiant,397,111.0400405,Pro,Win
123456789,radiant,398,109.2296411,Pro,Win
123456789,radiant,399,111.4237667,Pro,Win
123456789,radiant,400,111.9220867,Pro,Win
123456789,radiant,401,114.6983713,Pro,Win
123456789,radiant,402,115.7120749,Pro,Win
123456789,radiant,403,117.4731216,Pro,Win
123456789,radiant,404,117.9764179,Pro,Win
123456789,radiant,405,117.638849,Pro,Win
123456789,radiant,406,116.6889745,Pro,Win
123456789,radiant,407,119.020968,Pro,Win
123456789,radiant,408,118.180148,Pro,Win
123456789,radiant,409,117.5826995,Pro,Win
123456789,radiant,410,119.0823661,Pro,Win
123456789,radiant,411,121.3487146,Pro,Win
123456789,radiant,412,121.1549679,Pro,Win
123456789,radiant,413,121.8413889,Pro,Win
123456789,radiant,414,122.2568022,Pro,Win
123456789,radiant,415,123.5302456,Pro,Win
123456789,radiant,416,121.2844082,Pro,Win
123456789,radiant,417,118.0288976,Pro,Win
123456789,radiant,418,115.8911781,Pro,Win
123456789,radiant,419,115.1130438,Pro,Win
123456789,radiant,420,114.3717167,Pro,Win
123456789,radiant,421,113.2767998,Pro,Win
123456789,radiant,422,113.6275582,Pro,Win
123456789,radiant,423,115.8865329,Pro,Win
123456789,radiant,424,120.6707143,Pro,Win
123456789,radiant,425,123.4409482,Pro,Win
123456789,radiant,426,124.7040087,Pro,Win
123456789,radiant,427,122.6216448,Pro,Win
123456789,radiant,428,121.5432119,Pro,Win
123456789,radiant,429,120.5675748,Pro,Win
123456789,radiant,430,120.4240847,Pro,Win
123456789,radiant,431,118.6907322,Pro,Win
123456789,radiant,432,119.0090783,Pro,Win
123456789,radiant,433,120.8809242,Pro,Win
123456789,radiant,434,119.1272235,Pro,Win
123456789,radiant,435,119.2228659,Pro,Win
123456789,radiant,436,119.6810595,Pro,Win
123456789,radiant,437,118.1756554,Pro,Win
123456789,radiant,438,116.3046287,Pro,Win
123456789,radiant,439,116.9721016,Pro,Win
123456789,radiant,440,118.1314231,Pro,Win
123456789,radiant,441,118.520275,Pro,Win
123456789,radiant,442,120.507698,Pro,Win
123456789,radiant,443,122.8241922,Pro,Win
123456789,radiant,444,125.1736311,Pro,Win
